Category_type,SKU,UPC,Product_Name,Collection,wholesale_price,Retail,Number_of_Cartons,Packing_Carton_Depth,Packing_Carton_Width,Packing_Carton_Height,Product_Shipping_Weight,Packing_Carton_Depth_2,Packing_Carton_Width_2,Packing_Carton_Height_2,Product_Shipping_Weight_2,Actual_Product_Length,Actual_Product_Width,Actual_Product_Height,Product_Weight,Product_Description,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Materials,Care_Instructions,Color,Warranty,Assembly_required,Cubic_Feet,Product_Shipping_Method,Drawer_Length,Drawer_Width,Drawer_height,Shelf_Length,Shelf_Width,Inches_in_between_shelf,Drawerheight
Accent Furnitures,655,848687043251,"Gozo 32"" High Two Door - One Drawer Accent Cabinet in White",Gozo, 145.00 ,318.99,1,35,18,11,52,,,,,27,14.5,32.125,45,"This beautiful 32"" High Accent Cabinet in White inlcudes Two Doors and One Top Drawer to store your stuff in a fahionable way. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for smaller spaces.  A simple yet original statement piece that will accent your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer front,"Includes one internal, adjustable shelf.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 24"" x 12"" ","Drawer Dimensions: 4.75""H x 11.5""L x 21"" W",Manufactured Wood,Wipe clean with damp cloth.,White,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,656,848687043268,"Gozo 32"" High Two Door - Three Drawer Accent Cabinet in White",Gozo, 149.00 ,327.99,1,35,18,11,61,,,,,27,14.5,32.125,54,"This versatile 32"" High Accent Cabinet in White comes with with two side doors and three small drawers. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for smaller spaces. A simple yet original statement piece that will work with your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer fronts.,"Inlcudes two internal, adjustable shelves","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 8"" x 12.5"" ","Drawer Dimensions: 5""H x 5.5""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,White,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,657,848687043275,"Gozo 32"" High Two Door - One Drawer Accent Cabinet in Espresso",Gozo, 145.00 ,318.99,1,35,18,11,52,,,,,27,14.5,32.125,45,"This beautiful 32"" High Accent Cabinet in Espresso inlcudes Two Doors and One Top Drawer to store your stuff in a fahionable way. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for smaller spaces. A simple yet original statement piece that will accent your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer front.,"Includes one internal, adjustable shelf.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 24"" x 12"" ","Drawer Dimensions: 4.75""H x 11.5""L x 21"" W",Manufactured Wood,Wipe clean with damp cloth.,Espresso,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,658,848687043282,"Gozo 32"" High Two Door - Three Drawer Accent Cabinet in Espresso",Gozo, 149.00 ,327.99,1,35,18,11,61,,,,,27,14.5,32.125,54,"This versatile 32"" High Accent Cabinet in White comes with with two side doors and three small drawers. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for smaller spaces. A simple yet original statement piece that will work with your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer fronts.,"Inlcudes two internal, adjustable shelves","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 8"" x 12.5"" ","Drawer Dimensions: 5""H x 5.5""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,Espresso,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,659,848687043299,"Gozo 32"" High Nine Drawer Accent Cabinet in Brown",Gozo, 136.00 ,299.99,2,18.25,35.25,8.25,16,16.5,25.75,10.25,20,27,14.5,32.125,31,"This versatile 32"" High Mosaic Style Accent Cabinet comes with nine drawers to store away clutter. The brown color has a medium to dark brown and pink tones.  Abalone shell- style design on all drawer fronts.  Drawers are interchangeable.  Perfect for smaller spaces.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the  drawer front.,"Includes nine, interchangeable drawers.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Drawer Dimensions: 5""H x 5.5""L x 11.5"" W",,Manufactured Wood,Wipe clean with damp cloth.,Multi,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,660,848687043305,"Gozo 32"" High Nine Drawer Accent Caninet in Coffee",Gozo, 136.00 ,299.99,2,18.25,35.25,8.25,16,16.5,25.75,10.25,20,27,14.5,32.125,31,"This versatile 32"" High Mosaic Style Accent Cabinet comes with Nine drawers to store away clutter. The brown color has a medium to dark brown and pink tones.   Abalone shell- style design on all drawer fronts.  Drawers are interchangeable.  Perfect for smaller spaces.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the  drawer front.,"Includes nine, interchangeable drawers.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Drawer Dimensions: 5""H x 5.5""L x 11.5"" W",,Manufactured Wood,Wipe clean with damp cloth.,Multi,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,661,848687043312,"Gozo 40"" High Two Door - One Drawer Accent Cabinet in White",Gozo, 210.00 ,461.99,2,42,18.625,7,61,34,23.625,6,62,36,15.75,39.75,112,"This beautiful 40"" High Accent Cabinet in White inlcudes Two Doors and One Top Drawer to store your stuff in a fahionable way. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for any room in your home.  A simple yet original statement piece that will accent your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer front.,"Includes one internal, adjustable shelf.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 33"" x 14"" ","Drawer Dimensions: 5""H x 30""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,White,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,662,848687043336,"Gozo 40"" High Two Door - Three Drawer Accent Cabinet in White",Gozo, 210.00 ,461.99,2,42,18.75,7,61,34,13.25,7,62,36,15.75,39.75,112,"This versatile 40"" High Accent Cabinet in White comes with with two side doors and three small drawers. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for any room in your home. A simple yet original statement piece that will work with your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer fronts.,"Inlcudes two internal, adjustable shelves","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 11"" x 14"" ","Drawer Dimensions: 5""H x 8.75""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,White,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,663,848687043350,"Gozo 36"" High Two Door - One Drawer Accent Cabinet in Espresso ",Gozo, 210.00 ,461.99,2,39,23.75,7,62,34,23.625,6,62,36,15.75,36,114,"This beautiful 36"" High Accent Cabinet in Espresso inlcudes Two Doors and One Top Drawer to store your stuff in a fahionable way. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for any room in your home. It is a simple yet original statement piece that will accent your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer front.,"Includes one internal, adjustable shelf.","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 33"" x 14"" ","Drawer Dimensions: 5""H x 30""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,Espresso,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
Accent Furnitures,664,848687010697,"Gozo 36"" High Two Door - Three Drawer Accent Cabinet in Espresso ",Gozo, 208.00 ,457.99,2,39,18.75,7,62,34,13.25,7,62,36,15.75,36,114,"This versatile 36"" High Accent Cabinet in White comes with with two side doors and three small drawers. Neutral toned abalone shell- style design on all door and drawer fronts. Perfect for any room in your home. A simple yet original statement piece that will work with your decor and provide hidden storage for any clutter in your home.",Some assembly required. Hardware included. ,Has the look and feel of abalone shells on the door fronts and drawer fronts.,"Inlcudes two internal, adjustable shelves","Antique brass, looped door knob","Perfect for the bathroom, hallway,  living room, bedroom, or dining room",Hinges and magnets are pre-installed,Anti-tip strap included,"Shelf Dimensions: 11"" x 14"" ","Drawer Dimensions: 5""H x 8.75""L x 11.5"" W",Manufactured Wood,Wipe clean with damp cloth.,Espresso,"90 Day Limited Manufacturer Warranty, free replacement parts",Yes,,,,,,,,,
